EventID,EventName,EventType,Department,DayOfWeek,Season,TimeOfDay,VenueCapacity,Attendance,AttendanceLevel,FeedbackScore,EngagementIndex
445,Event_445,Hackathon,Management,Thursday,Monsoon,Morning,110,43,Low,4.0,1.590909091
129,Event_129,Hackathon,ECE,Tuesday,Monsoon,Afternoon,197,128,Medium,4.0,2.659898477
406,Event_406,Hackathon,Management,Friday,Winter,Afternoon,74,64,High,5.0,2.972972973
548,Event_548,Cultural,ECE,Monday,Summer,Afternoon,481,294,Medium,4.0,2.952182952
246,Event_246,Sports,Mechanical,Saturday,Monsoon,Morning,429,97,Low,2.0,0.452214452
526,Event_526,Seminar,Civil,Thursday,Monsoon,Afternoon,133,123,High,1.0,1.909774436
420,Event_420,Seminar,ECE,Friday,Winter,Afternoon,151,84,Medium,1.0,0.516556291
259,Event_259,Cultural,Mechanical,Thursday,Summer,Morning,489,382,High,1.0,1.558282209
267,Event_267,Seminar,CSE,Monday,Monsoon,Afternoon,265,227,High,3.0,1.750943396
246,Event_246,Sports,Mechanical,Saturday,Monsoon,Morning,429,90,Low,2.0,0.452214452
44,Event_44,Cultural,Management,Friday,Summer,Afternoon,438,397,High,2.0,0.885844749
178,Event_178,Workshop,ECE,Wednesday,Summer,Evening,206,127,Medium,4.0,2.466019417
221,Event_221,Cultural,Mechanical,Thursday,Winter,Evening,60,16,Medium,5.0,2.083333333
38,Event_38,Hackathon,Civil,Friday,Monsoon,Afternoon,50,44,High,5.0,4.4
345,Event_345,Cultural,Mechanical,Wednesday,Summer,Evening,273,195,High,5.0,3.717948718
546,Event_546,Hackathon,Mechanical,Friday,Summer,Evening,371,249,Medium,3.0,1.380053908
428,Event_428,Hackathon,Management,Saturday,Monsoon,Evening,291,55,Low,1.0,0.202749141
285,Event_285,Workshop,Mechanical,Monday,Winter,Evening,276,138,Medium,5.0,2.68115942
559,Event_559,Workshop,Mechanical,Tuesday,Monsoon,Afternoon,277,179,Medium,1.0,0.667870036
586,Event_586,Hackathon,CSE,Wednesday,Monsoon,Afternoon,165,156,High,3.0,2.836363636
433,Event_433,Seminar,Management,Thursday,Winter,Evening,133,29,Low,2.0,0.218045113
208,Event_208,Sports,Mechanical,Thursday,Monsoon,Morning,169,164,High,2.0,2.769230769
545,Event_545,Workshop,CSE,Monday,Winter,Afternoon,409,221,Medium,3.0,1.621026895
83,Event_83,Hackathon,CSE,Tuesday,Winter,Evening,429,286,Medium,5.0,2.703962704
284,Event_284,Seminar,ECE,Thursday,Winter,Evening,284,107,Medium,2.0,1.225352113
179,Event_179,Hackathon,Management,Monday,Winter,Evening,205,85,Medium,2.0,0.448780488
301,Event_301,Hackathon,Civil,Saturday,Summer,Morning,329,122,Low,4.0,1.914893617
213,Event_213,Sports,Mechanical,Thursday,Monsoon,Evening,262,142,Medium,2.0,0.530534351
459,Event_459,Cultural,ECE,Friday,Winter,Morning,272,116,Medium,2.0,0.452205882
116,Event_116,Hackathon,Civil,Tuesday,Summer,Afternoon,362,232,Medium,4.0,3.273480663
323,Event_323,Cultural,Mechanical,Wednesday,Summer,Evening,395,384,High,5.0,4.924050633
651,Event_651,Cultural,Management,Monday,Winter,Morning,95,35,Medium,2.0,0.863157895
656,Event_656,Workshop,Civil,Friday,Monsoon,Evening,470,265,Medium,5.0,2.712765957
121,Event_121,Cultural,CSE,Saturday,Summer,Morning,232,99,Medium,4.0,1.793103448
637,Event_637,Workshop,ECE,Saturday,Summer,Afternoon,328,104,Low,5.0,1.207317073
662,Event_662,Cultural,,Thursday,Monsoon,Afternoon,89,15,Low,1.0,0.449438202
674,Event_674,Seminar,Mechanical,Friday,Monsoon,Evening,297,99,Low,4.0,1.498316498
623,Event_623,Seminar,Management,Thursday,Winter,Evening,125,113,High,2.0,0.896
22,Event_22,Hackathon,Mechanical,Tuesday,Winter,Evening,271,112,Low,5.0,1.974169742
549,Event_549,Workshop,Management,Wednesday,Winter,Evening,140,40,Low,2.0,0.457142857
49,Event_49,Cultural,CSE,Wednesday,Winter,Afternoon,306,163,Medium,1.0,0.535947712
594,Event_594,Cultural,ECE,Wednesday,Summer,Afternoon,306,137,Medium,4.0,2.107843137
51,Event_51,Seminar,Civil,Wednesday,Winter,Evening,84,25,Low,3.0,0.892857143
161,Event_161,Sports,CSE,Tuesday,Winter,Afternoon,398,249,Medium,1.0,0.600502513
137,Event_137,Seminar,ECE,Thursday,Monsoon,Afternoon,457,318,High,3.0,2.853391685
567,Event_567,Sports,Mechanical,Saturday,Winter,Evening,209,213,High,5.0,4.85645933
291,Event_291,Sports,ECE,Monday,Monsoon,Morning,187,108,Medium,4.0,1.780748663
550,Event_550,Cultural,Civil,Thursday,Monsoon,Evening,327,304,High,2.0,0.917431193
336,Event_336,Cultural,CSE,Wednesday,Monsoon,Afternoon,219,101,Medium,2.0,1.493150685
430,Event_430,Seminar,ECE,Tuesday,Summer,Morning,290,239,High,2.0,1.648275862
455,Event_455,Seminar,ECE,Thursday,Monsoon,Afternoon,127,129,High,3.0,1.88976378
427,Event_427,Workshop,Civil,Wednesday,Monsoon,Morning,223,120,Medium,3.0,2.080717489
63,Event_63,Hackathon,Management,Wednesday,Summer,Evening,124,69,Medium,3.0,2.451612903
173,Event_173,Cultural,CSE,Friday,Winter,Morning,439,363,High,4.0,2.528473804
225,Event_225,Workshop,Mechanical,Monday,Monsoon,Afternoon,143,126,High,,0.888111888
239,Event_239,Hackathon,CSE,Saturday,Monsoon,Afternoon,404,341,High,1.0,0.856435644
317,Event_317,Sports,Management,Saturday,Summer,Evening,78,52,Medium,4.0,3.205128205
638,Event_638,Hackathon,CSE,Wednesday,Summer,Morning,411,364,High,1.0,1.785888078
547,Event_547,Hackathon,Mechanical,Friday,Summer,Afternoon,104,67,High,3.0,2.961538462
8,Event_8,Sports,Mechanical,Saturday,Winter,Afternoon,103,28,Low,1.0,0.563106796
528,Event_528,Workshop,,Monday,Summer,Morning,291,226,High,2.0,1.546391753
285,Event_285,Workshop,Mechanical,Monday,Winter,Evening,276,145,Medium,5.0,2.68115942
284,Event_284,Seminar,ECE,Thursday,Winter,Evening,284,126,Medium,4.0,1.225352113
279,Event_279,Sports,Mechanical,Saturday,Winter,Evening,487,176,Low,1.0,0.367556468
301,Event_301,Hackathon,Civil,Saturday,Summer,Morning,329,126,Low,5.0,1.914893617
61,Event_61,Cultural,Mechanical,Monday,Monsoon,Evening,463,437,High,1.0,0.935205184
256,Event_256,Sports,CSE,Saturday,Winter,Morning,378,234,Medium,3.0,1.833333333
71,Event_71,Workshop,Management,Thursday,Summer,Morning,94,61,Medium,1.0,1.234042553
99,Event_99,Cultural,Mechanical,Friday,Monsoon,Afternoon,104,66,High,3.0,1.384615385
675,Event_675,Workshop,Management,Saturday,Monsoon,Afternoon,165,79,Medium,5.0,1.793939394
142,Event_142,Hackathon,Management,Monday,Winter,Evening,309,110,Low,3.0,1.087378641
11,Event_11,Seminar,Management,Wednesday,Winter,Afternoon,369,358,High,2.0,0.953929539
320,Event_320,Sports,Civil,Friday,Monsoon,Morning,277,59,Low,2.0,0.241877256
182,Event_182,Sports,Management,Wednesday,Summer,Morning,114,92,High,1.0,0.745614035
664,Event_664,Sports,Mechanical,Saturday,Winter,Evening,238,83,Low,1.0,0.621848739
332,Event_332,Cultural,ECE,Thursday,Monsoon,Morning,141,60,Medium,4.0,2.411347518
478,Event_478,Workshop,CSE,Wednesday,Winter,Evening,218,155,High,5.0,2.862385321
458,Event_458,Sports,CSE,Wednesday,Monsoon,Afternoon,446,286,Medium,1.0,0.64573991
188,Event_188,Workshop,Management,Friday,Winter,Morning,477,294,Medium,4.0,2.440251572
166,Event_166,Cultural,Management,Wednesday,Monsoon,Morning,343,238,Medium,3.0,2.020408163
231,Event_231,Cultural,ECE,Tuesday,Summer,Afternoon,342,248,High,1.0,0.725146199
535,Event_535,Sports,ECE,Saturday,Summer,Evening,123,43,Low,5.0,1.74796748
240,Event_240,Hackathon,CSE,Saturday,Winter,Evening,352,126,Low,2.0,0.715909091
271,Event_271,Sports,Civil,Monday,Summer,Afternoon,323,273,High,3.0,1.634674923
339,Event_339,Hackathon,ECE,Monday,Winter,Afternoon,271,251,High,5.0,4.557195572
279,Event_279,Sports,Mechanical,Saturday,Winter,Evening,487,178,Low,1.0,0.367556468
662,Event_662,Cultural,,Thursday,Monsoon,Afternoon,89,14,Low,3.0,0.449438202
285,Event_285,Workshop,Mechanical,Monday,Winter,Evening,276,144,Medium,5.0,2.68115942
266,Event_266,Workshop,ECE,Monday,Summer,Evening,442,371,High,4.0,4.287330317
407,Event_407,Workshop,CSE,Saturday,Monsoon,Evening,443,353,High,1.0,0.819413093
565,Event_565,Seminar,CSE,Wednesday,Winter,Afternoon,83,48,Medium,1.0,0.65060241
638,Event_638,Hackathon,CSE,Wednesday,Summer,Morning,411,368,High,2.0,1.785888078
41,Event_41,Seminar,ECE,Friday,Monsoon,Morning,190,35,Low,4.0,0.884210526
207,Event_207,Hackathon,Management,Friday,Summer,Evening,266,55,Low,5.0,1.165413534
276,Event_276,Sports,Civil,Tuesday,Winter,Morning,198,178,High,5.0,4.595959596
296,Event_296,Hackathon,ECE,Thursday,Summer,Morning,123,78,Medium,4.0,2.666666667
354,Event_354,Seminar,CSE,Tuesday,Monsoon,Evening,61,64,High,5.0,3.803278689
103,Event_103,Seminar,Civil,Saturday,Winter,Evening,280,83,Low,4.0,1.1
187,Event_187,Hackathon,ECE,Tuesday,Summer,Afternoon,211,206,High,3.0,1.857819905
524,Event_524,Sports,Mechanical,Monday,Winter,Evening,130,68,Medium,5.0,2.769230769
79,Event_79,Seminar,Mechanical,Tuesday,Monsoon,Afternoon,194,155,High,2.0,1.567010309
147,Event_147,Seminar,Civil,Tuesday,Summer,Evening,168,46,Low,4.0,0.928571429
469,Event_469,Workshop,ECE,Monday,Winter,Morning,258,252,High,4.0,3.906976744
80,Event_80,Seminar,CSE,Wednesday,Summer,Afternoon,424,322,High,4.0,3.037735849
69,Event_69,Seminar,Management,Wednesday,Monsoon,Evening,222,136,Medium,1.0,0.617117117
489,Event_489,Seminar,,Monday,Summer,Morning,381,305,High,3.0,2.480314961
418,Event_418,Cultural,Management,Wednesday,Monsoon,Morning,224,145,Medium,1.0,0.6875
666,Event_666,Workshop,ECE,Monday,Summer,Evening,73,53,High,5.0,4.315068493
4,Event_4,Hackathon,Civil,Friday,Monsoon,Afternoon,398,187,Medium,3.0,0.894472362
25,Event_25,Workshop,CSE,Friday,Winter,Afternoon,68,72,High,4.0,2.735294118
661,Event_661,Hackathon,Management,Thursday,Monsoon,Morning,332,246,High,3.0,1.487951807
429,Event_429,Hackathon,Civil,Saturday,Monsoon,Evening,331,105,Low,4.0,1.555891239
471,Event_471,Cultural,Mechanical,Saturday,Winter,Morning,380,165,Medium,4.0,1.8
517,Event_517,Cultural,Mechanical,Tuesday,Monsoon,Evening,411,394,High,2.0,1.941605839
182,Event_182,Sports,Management,Wednesday,Summer,Morning,114,85,High,1.0,0.745614035
273,Event_273,Workshop,Management,Thursday,Winter,Morning,77,32,Low,4.0,1.298701299
148,Event_148,Sports,Mechanical,Tuesday,Summer,Afternoon,464,231,Medium,3.0,0.987068966
143,Event_143,Seminar,CSE,Saturday,Summer,Morning,254,61,Low,5.0,1.023622047
260,Event_260,Cultural,CSE,Monday,Monsoon,Morning,149,39,Low,5.0,1.610738255
540,Event_540,Seminar,,Monday,Winter,Afternoon,304,66,Low,4.0,0.842105263
51,Event_51,Seminar,Civil,Wednesday,Winter,Evening,84,25,Low,2.0,0.892857143
318,Event_318,Cultural,Management,Thursday,Winter,Afternoon,220,184,High,1.0,0.795454545
458,Event_458,Sports,CSE,Wednesday,Monsoon,Afternoon,446,288,Medium,1.0,0.64573991
178,Event_178,Workshop,ECE,Wednesday,Summer,Evening,206,119,Medium,3.0,2.466019417
171,Event_171,Workshop,Mechanical,Thursday,Winter,Evening,313,257,High,5.0,4.265175719
11,Event_11,Seminar,Management,Wednesday,Winter,Afternoon,369,343,High,1.0,0.953929539
438,Event_438,Sports,Mechanical,Thursday,Summer,Evening,210,54,Low,1.0,0.257142857
699,Event_699,Cultural,CSE,Tuesday,Summer,Morning,52,47,High,4.0,4.903846154
483,Event_483,Cultural,Management,Friday,Summer,Afternoon,97,31,Medium,2.0,1.237113402
222,Event_222,Workshop,Management,Thursday,Monsoon,Evening,322,91,Low,3.0,0.583850932
22,Event_22,Hackathon,Mechanical,Tuesday,Winter,Evening,271,99,Low,5.0,1.974169742
10,Event_10,Hackathon,CSE,Tuesday,Winter,Afternoon,347,105,Low,4.0,0.890489914
470,Event_470,Seminar,Management,Wednesday,Monsoon,Evening,289,140,Medium,5.0,2.422145329
504,Event_504,Sports,CSE,Tuesday,Monsoon,Afternoon,108,40,Low,1.0,0.37037037
161,Event_161,Sports,CSE,Tuesday,Winter,Afternoon,398,241,Medium,2.0,0.600502513
183,Event_183,Workshop,Mechanical,Monday,Winter,Evening,156,38,Low,4.0,0.807692308
109,Event_109,Sports,CSE,Saturday,Summer,Evening,207,66,Low,5.0,1.449275362
507,Event_507,Seminar,Civil,Friday,Monsoon,Afternoon,322,288,High,1.0,1.776397516
576,Event_576,Hackathon,ECE,Thursday,Summer,Evening,212,161,High,5.0,3.75
105,Event_105,Workshop,ECE,Monday,Summer,Evening,344,285,High,2.0,1.662790698
86,Event_86,Workshop,CSE,Saturday,Monsoon,Evening,237,72,Low,4.0,0.848101266
193,Event_193,Seminar,ECE,Tuesday,Summer,Morning,190,155,High,2.0,0.773684211
672,Event_672,Workshop,Management,Saturday,Summer,Morning,482,205,Medium,4.0,2.136929461
5,Event_5,Hackathon,CSE,Monday,Winter,Morning,263,113,Medium,4.0,1.764258555
474,Event_474,Hackathon,ECE,Wednesday,Summer,Morning,60,51,High,1.0,0.85
250,Event_250,Sports,CSE,Wednesday,Monsoon,Evening,446,286,Medium,3.0,2.538116592
407,Event_407,Workshop,CSE,Saturday,Monsoon,Evening,443,362,High,1.0,0.819413093
106,Event_106,Hackathon,ECE,Tuesday,Winter,Morning,370,235,Medium,5.0,3.081081081
156,Event_156,Workshop,Civil,Monday,Monsoon,Afternoon,253,241,High,5.0,4.920948617
342,Event_342,Seminar,ECE,Thursday,Winter,Afternoon,470,194,Medium,2.0,0.863829787
247,Event_247,Seminar,ECE,Monday,Summer,Evening,62,37,Medium,1.0,0.629032258
229,Event_229,Sports,CSE,Friday,Winter,Afternoon,260,172,Medium,5.0,3.211538462
185,Event_185,Cultural,CSE,Thursday,Monsoon,Evening,186,115,Medium,3.0,2.301075269
134,Event_134,Hackathon,CSE,Thursday,Summer,Morning,461,228,Medium,3.0,1.470715835
159,Event_159,Workshop,CSE,Wednesday,Winter,Evening,490,371,High,5.0,3.867346939
180,Event_180,Workshop,Mechanical,Friday,Summer,Afternoon,188,101,Medium,5.0,2.872340426
494,Event_494,Workshop,ECE,Tuesday,Summer,Afternoon,68,34,Medium,4.0,2.470588235
247,Event_247,Seminar,ECE,Monday,Summer,Evening,62,34,Medium,1.0,0.629032258
59,Event_59,Seminar,Management,Wednesday,Summer,Afternoon,433,117,Low,5.0,1.258660508
65,Event_65,Cultural,,Monday,Monsoon,Evening,121,50,Medium,3.0,0.859504132
536,Event_536,Hackathon,Management,Thursday,Summer,Morning,85,33,Low,1.0,0.388235294
75,Event_75,Hackathon,ECE,Tuesday,Summer,Morning,407,98,Low,2.0,0.461916462
104,Event_104,Cultural,Management,Tuesday,Winter,Afternoon,102,63,Medium,4.0,2.794117647
637,Event_637,Workshop,ECE,Saturday,Summer,Afternoon,328,91,Low,3.0,1.207317073
133,Event_133,Seminar,ECE,Thursday,Summer,Morning,227,137,Medium,5.0,2.841409692
507,Event_507,Seminar,Civil,Friday,Monsoon,Afternoon,322,296,High,3.0,1.776397516
381,Event_381,Cultural,CSE,Saturday,Summer,Morning,173,67,Low,5.0,1.907514451
42,Event_42,Workshop,Management,Monday,Summer,Evening,281,278,High,1.0,1.992882562
417,Event_417,Cultural,Civil,Tuesday,Winter,Evening,98,51,Medium,5.0,2.908163265
124,Event_124,Sports,Mechanical,Saturday,Summer,Morning,495,132,Low,1.0,0.272727273
343,Event_343,Sports,,Tuesday,Winter,Afternoon,183,41,Low,5.0,1.010928962
662,Event_662,Cultural,,Thursday,Monsoon,Afternoon,89,30,Low,3.0,0.449438202
42,Event_42,Workshop,Management,Monday,Summer,Evening,281,276,High,1.0,1.992882562
388,Event_388,Cultural,Mechanical,Monday,Winter,Evening,168,110,Medium,4.0,1.892857143
242,Event_242,Workshop,Management,Friday,Monsoon,Morning,305,172,Medium,2.0,0.570491803
369,Event_369,Seminar,CSE,Tuesday,Summer,Morning,263,167,Medium,4.0,2.403041825
590,Event_590,Workshop,Management,Tuesday,Summer,Evening,131,54,Low,5.0,1.79389313
184,Event_184,Cultural,Mechanical,Tuesday,Monsoon,Evening,196,197,High,4.0,4.948979592
186,Event_186,Seminar,ECE,Saturday,Winter,Evening,460,341,High,2.0,1.482608696
574,Event_574,Sports,Civil,Friday,Summer,Morning,166,53,Low,3.0,0.759036145
526,Event_526,Seminar,Civil,Thursday,Monsoon,Afternoon,133,132,High,2.0,1.909774436
364,Event_364,Hackathon,CSE,Tuesday,Monsoon,Evening,380,194,Medium,2.0,1.602631579
530,Event_530,Hackathon,Management,Saturday,Winter,Afternoon,142,50,Medium,5.0,1.633802817
263,Event_263,Hackathon,ECE,Thursday,Monsoon,Morning,222,142,Medium,4.0,2.702702703
610,Event_610,Workshop,Management,Wednesday,Winter,Evening,327,258,High,1.0,0.77675841
612,Event_612,Workshop,Management,Saturday,Winter,Evening,286,143,Medium,2.0,0.503496503
677,Event_677,Hackathon,Mechanical,Monday,Winter,Evening,414,142,Low,1.0,0.355072464
79,Event_79,Seminar,Mechanical,Tuesday,Monsoon,Afternoon,194,158,High,2.0,1.567010309
234,Event_234,Seminar,Mechanical,Monday,Monsoon,Morning,150,83,Medium,3.0,1.66
235,Event_235,Workshop,Management,Friday,Winter,Evening,353,348,High,4.0,2.932011331
23,Event_23,Seminar,ECE,Monday,Winter,Morning,352,102,Low,2.0,0.84375
606,Event_606,Sports,ECE,Tuesday,Winter,Evening,438,107,Low,2.0,0.228310502
313,Event_313,Cultural,Management,Tuesday,Winter,Afternoon,317,126,Low,,1.955835962
301,Event_301,Hackathon,Civil,Saturday,Summer,Morning,329,126,Low,4.0,1.914893617
492,Event_492,Hackathon,CSE,Monday,Winter,Morning,138,81,Medium,1.0,0.557971014
182,Event_182,Sports,Management,Wednesday,Summer,Morning,114,85,High,1.0,0.745614035
28,Event_28,Cultural,ECE,Tuesday,Monsoon,Evening,331,215,Medium,5.0,2.622356495
305,Event_305,Sports,Management,Thursday,Winter,Evening,447,200,Medium,4.0,1.402684564
135,Event_135,Sports,Management,Wednesday,Monsoon,Afternoon,415,184,Medium,,2.253012048
440,Event_440,Workshop,Civil,Thursday,Winter,Morning,471,147,Low,2.0,0.961783439
451,Event_451,Sports,CSE,Friday,Winter,Morning,111,14,Low,4.0,0.990990991
619,Event_619,Seminar,Mechanical,Wednesday,Monsoon,Afternoon,361,106,Low,1.0,0.290858726
224,Event_224,Seminar,Management,Saturday,Winter,Evening,330,74,Low,1.0,0.460606061
442,Event_442,Hackathon,Management,Monday,Monsoon,Afternoon,275,74,Low,2.0,0.258181818
93,Event_93,Sports,Civil,Wednesday,Winter,Evening,339,290,High,2.0,0.855457227
88,Event_88,Workshop,Civil,Friday,Winter,Afternoon,499,102,Low,,0.619238477
363,Event_363,Seminar,Civil,Thursday,Winter,Afternoon,209,56,Low,5.0,1.507177033
168,Event_168,Sports,Management,Monday,Summer,Evening,392,382,High,5.0,4.795918367
616,Event_616,Sports,ECE,Wednesday,Monsoon,Morning,246,165,Medium,1.0,0.630081301
100,Event_100,Workshop,Mechanical,Wednesday,Monsoon,Afternoon,76,36,Low,3.0,1.526315789
266,Event_266,Workshop,ECE,Monday,Summer,Evening,442,374,High,4.0,4.287330317
578,Event_578,Seminar,Management,Monday,Monsoon,Morning,162,60,Low,2.0,0.666666667
515,Event_515,Seminar,CSE,Tuesday,Winter,Morning,57,36,Medium,2.0,0.456140351
218,Event_218,Seminar,CSE,Monday,Summer,Afternoon,466,174,Low,4.0,1.493562232
270,Event_270,Seminar,Management,Saturday,Monsoon,Evening,341,119,Low,1.0,0.715542522
438,Event_438,Sports,Mechanical,Thursday,Summer,Evening,210,52,Low,1.0,0.257142857
413,Event_413,Hackathon,ECE,Wednesday,Summer,Evening,117,25,Low,5.0,1.41025641
425,Event_425,Sports,Management,Wednesday,Summer,Evening,96,62,Medium,3.0,1.270833333
677,Event_677,Hackathon,Mechanical,Monday,Winter,Evening,414,147,Low,1.0,0.355072464
653,Event_653,Sports,CSE,Wednesday,Summer,Evening,373,95,Low,3.0,0.466487936
61,Event_61,Cultural,Mechanical,Monday,Monsoon,Evening,463,442,High,1.0,0.935205184
421,Event_421,Cultural,ECE,Monday,Winter,Afternoon,265,132,Medium,4.0,2.00754717
110,Event_110,Sports,Management,Friday,Monsoon,Morning,486,314,Medium,5.0,3.137860082
659,Event_659,Workshop,Management,Friday,Monsoon,Afternoon,416,244,Medium,3.0,1.177884615
91,Event_91,Sports,Mechanical,Friday,Summer,Morning,160,71,Low,4.0,1.9375
382,Event_382,Hackathon,Mechanical,Friday,Summer,Morning,477,468,High,4.0,3.924528302
676,Event_676,Hackathon,ECE,Thursday,Summer,Evening,328,106,Low,1.0,0.332317073
220,Event_220,Workshop,Civil,Thursday,Summer,Afternoon,413,107,Low,1.0,0.249394673
444,Event_444,Sports,,Thursday,Monsoon,Evening,273,255,High,4.0,3.663003663
467,Event_467,Cultural,Management,Tuesday,Summer,Evening,157,81,Medium,1.0,0.541401274
335,Event_335,Seminar,Civil,Tuesday,Winter,Afternoon,230,210,High,5.0,3.791304348
616,Event_616,Sports,ECE,Wednesday,Monsoon,Morning,246,153,Medium,1.0,0.630081301
560,Event_560,Seminar,CSE,Tuesday,Winter,Afternoon,314,100,Low,2.0,0.636942675
610,Event_610,Workshop,Management,Wednesday,Winter,Evening,327,251,High,1.0,0.77675841
170,Event_170,Seminar,Civil,Thursday,Summer,Evening,355,259,High,3.0,2.188732394
404,Event_404,Hackathon,Mechanical,Saturday,Summer,Morning,490,155,Low,4.0,0.9
684,Event_684,Cultural,Mechanical,Tuesday,Winter,Morning,362,140,Low,4.0,1.546961326
271,Event_271,Sports,Civil,Monday,Summer,Afternoon,323,261,High,1.0,1.634674923
201,Event_201,Cultural,Mechanical,Friday,Winter,Evening,450,278,Medium,2.0,1.886666667
659,Event_659,Workshop,Management,Friday,Monsoon,Afternoon,416,255,Medium,3.0,1.177884615
394,Event_394,Workshop,ECE,Thursday,Winter,Morning,192,68,Low,3.0,1.0625
247,Event_247,Seminar,ECE,Monday,Summer,Evening,62,42,Medium,1.0,0.629032258
258,Event_258,Hackathon,Management,Thursday,Winter,Morning,359,156,Medium,2.0,0.420612813
640,Event_640,Hackathon,Management,Thursday,Monsoon,Afternoon,448,273,Medium,3.0,2.482142857
441,Event_441,Workshop,Management,Monday,Monsoon,Afternoon,460,347,High,4.0,3.069565217
382,Event_382,Hackathon,Mechanical,Friday,Summer,Morning,477,469,High,5.0,3.924528302
445,Event_445,Hackathon,Management,Thursday,Monsoon,Morning,110,26,Low,5.0,1.590909091
517,Event_517,Cultural,Mechanical,Tuesday,Monsoon,Evening,411,397,High,3.0,1.941605839
25,Event_25,Workshop,CSE,Friday,Winter,Afternoon,68,69,High,2.0,2.735294118
355,Event_355,Cultural,Management,Friday,Summer,Morning,65,58,High,3.0,3.2
180,Event_180,Workshop,Mechanical,Friday,Summer,Afternoon,188,108,Medium,5.0,2.872340426
90,Event_90,Sports,CSE,Tuesday,Summer,Afternoon,233,231,High,4.0,3.793991416
468,Event_468,Sports,Management,Friday,Winter,Evening,210,88,Low,1.0,0.395238095
484,Event_484,Hackathon,ECE,Tuesday,Winter,Morning,233,152,Medium,4.0,3.111587983
